시작에들어가는가상글입	시작에들어가는가상글/NNP
억달러규모	억/NR + 달러/NNB + 규모/NNG
억달러어치	억/NR + 달러/NNB + 어치/NNG
억달러짜리	억/NR + 달러/NNB + 짜리/XSN
억여원가량	억/NR + 여/XSN + 원/NNB + 가량/NNG
억여원어치	억/NR + 여/XSN + 원/NNB + 어치/NNG
억즈워티씩	억/NR + 즈워티/NNB + 씩/XSN
억홍콩달러	억/NR + 홍콩/NNP + 달러/NNG
여든일곱살	여든/NR + 일곱/NR + 살/NNB
여만원어치	여/XSN + 만/NR + 원/NNB + 어치/NNG
여명이상씩	여/XSN + 명/NNB + 이상/NNG + 씩/XSN
여억원어치	여/XSN + 억/NR + 원/NNB + 어치/NNG
여킬로미터	여/XSN + 킬로미터/NNB
우리은행배	우리은행/NNP + 배/NNG
원이하형때	원/NNB + 이하/NNG + 형/NNG + 때/NNG
월결산기업	월/NNB + 결산/NNG + 기업/NNG
월유엔총회	월/NNB + 유엔총회/NNP
월임시국회	월/NNB + 임시/NNG + 국회/NNG
월전당대회	월/NNB + 전당/NNG + 대회/NNG
월전역조처	월/NNB + 전역/NNG + 조처/NNG
음성사서함	음성/NNG + 사서함/NNG
인지배체제	인/NNG + 지배/NNG + 체제/NNG
인터내셔널	인터내셔널/NNG
자유학예과	자유/NNG + 학예/NNG + 과/NNG
제곱미터쯤	제곱미터/NNB + 쯤/XSN
제곱인치당	제곱/NNG + 인치/NNB + 당/XSN
조정위원장	조정/NNG + 위원장/NNG
주년기념관	주년/NNB + 기념관/NNG
중추돌사고	중/NNG + 추돌/NNG + 사고/NNG
차공천작업	차/NNB + 공천/NNG + 작업/NNG
차금속산업	차/NNB + 금속/NNG + 산업/NNG
차단체협상	차/NNB + 단체/NNG + 협상/NNG
차분담금중	차/NNB + 분담금/NNG + 중/NNB
차세계대전	차/NNB + 세계/NNG + 대전/NNG
차신경활성	차/NNB + 신경/NNG + 활성/NNG
차의료기관	차/NNB + 의료/NNG + 기관/NNG
차진료기능	차/NNB + 진료/NNG + 기능/NNG
천km이하	천/NR + km/SL + 이하/NNG
천달러짜리	천/NR + 달러/NNB + 짜리/XSN
천리엘짜리	천/NR + 리엘/NNB + 짜리/XSN
천만원어치	천만/NR + 원/NNB + 어치/NNG
천만원요구	천만/NR + 원/NNB + 요구/NNG
천만원정도	천만/NR + 원/NNB + 정도/NNG
천만원짜리	천만/NR + 원/NNB + 짜리/XSN
천억원어치	천억/NR + 원/NNB + 어치/NNG
천여만원씩	천/NR + 여/XSN + 만/NR + 원/NNB + 씩/XSN
추진협의회	추진/NNG + 협의회/NNG
층지창책장	층/NNG + 지창/NNG + 책장/NNG
치안서비스	치안/NNG + 서비스/NNG
캐나다달러	캐나다/NNP + 달러/NNB
킬로그램당	킬로그램/NNB + 당/XSN
킬로그램쯤	킬로그램/NNB + 쯤/XSN
킬로미터씩	킬로미터/NNB + 씩/XSN
킬로미터쯤	킬로미터/NNB + 쯤/XSN
킬로바이트	킬로바이트/NNB
킬로칼로리	킬로칼로리/NNB
타수1안타	타수/NNG + 1/SN + 안타/NNG
파운드짜리	파운드/NNB + 짜리/XSN
퍼센트가량	퍼센트/NNB + 가량/NNG
페이지짜리	페이지/NNG + 짜리/XSN
평방미터당	평방미터/NNB + 당/XSN
프레임짜리	프레임/NNG + 짜리/XSN
한일월드컵	한일/NNP + 월드컵/NNG
함대사령관	함대/NNG + 사령관/NNG
함대사령부	함대/NNG + 사령부/NNG
헥토파스칼	헥토파스칼/NNG
회생일파티	회/NNB + 생일/NNG + 파티/NNG
CC짜리	CC/SL + 짜리/XSN
cc짜리	cc/SL + 짜리/XSN
city	city/SL
cm내외	cm/SL + 내외/NNG
cm정도	cm/SL + 정도/NNG
Cm정도	Cm/SL + 정도/NNG
cm조금	cm/SL + 조금/NNG
D캐릭터	D/SL + 캐릭터/NNG
Kbps	Kbps/SL
KB짜리	KB/SL + 짜리/XSN
kcal	kcal/SL
Kcal	Kcal/SL
kg정도	kg/SL + 정도/NNG
kg짜리	kg/SL + 짜리/XSN
km2당	km/SL + 2/SN + 당/XSN
km정도	km/SL + 정도/NNG
km지점	km/SL + 지점/NNG
km짜리	km/SL + 짜리/XSN
km행렬	km/SL + 행렬/NNG
MBC배	MBC/SL + 배/NNG
Mbps	Mbps/SL
mesh	mesh/SL
mini	mini/SL
ml짜리	ml/SL + 짜리/XSN
mmHg	mmHg/SL
mm영화	mm/SL + 영화/NNG
mm이상	mm/SL + 이상/NNG
mm필름	mm/SL + 필름/NNG
m남짓씩	m/SL + 남짓/NNB + 씩/XSN
t반짜리	t/SL + 반/NNG + 짜리/XSN
umol	umol/SL
가마니쯤	가마니/NNG + 쯤/XSN
가입세대	가입/NNG + 세대/NNG
가지이상	가지/NNB + 이상/NNG
각천장층	각/NNG + 천장/NNG + 층/NNG
각형석탑	각형/NNG + 석탑/NNG
개년계획	개년/NNB + 계획/NNG
개비짜리	개비/NNG + 짜리/XSN
개사업장	개/NNB + 사업장/NNG
개영화제	개/NNB + 영화제/NNG
개월가량	개월/NNB + 가량/NNG
개월과정	개월/NNB + 과정/NNG
개월동안	개월/NNB + 동안/NNG
개월여만	개월/NNB + 여/XSN + 만/NNB
개월이상	개월/NNB + 이상/NNG
개월짜리	개월/NNB + 짜리/XSN
개위원회	개/NNB + 위원회/NNG
개지구당	개/NNB + 지구당/NNG
개항지시	개/NNB + 항/NNG + 지시/NNG
결합원칙	결합/NNG + 원칙/NNG
경기연속	경기/NNG + 연속/NNG
경비단장	경비/NNG + 단장/NNG
경찰서측	경찰서/NNG + 측/NNB
고등법원	고등/NNG + 법원/NNG
고등학교	고등학교/NNG
고속도로	고속도로/NNG
공비자금	공/NNG + 비자금/NNG
공정권때	공/NNG + 정권/NNG + 때/NNG
공정권하	공/NNG + 정권하/NNG
공화국때	공화국/NNG + 때/NNG
공화국말	공화국/NNG + 말/NNB
공화국하	공화국하/NNG
교구본사	교구/NNG + 본사/NNG
구조대원	구조대원/NNG
군단요원	군단/NNG + 요원/NNG
군사령관	군사령관/NNG
군사령부	군사령부/NNG
군사학교	군사학교/NNG
그램짜리	그램/NNB + 짜리/XSN
그루가량	그루/NNB + 가량/NNG
급군구중	급/NNG + 군구/NNG + 중/NNB
급자격증	급/NNG + 자격증/NNG
급장애인	급/NNG + 장애인/NNG
급장해시	급/NNG + 장해/NNG + 시/NNB
기본부문	기본/NNG + 부문/NNG
꼬챙이씩	꼬챙이/NNG + 씩/XSN
나노미터	나노미터/NNB
네다섯쯤	네다섯/NR + 쯤/XSN
네버다이	네버다이/NNG
년간이란	년/NNB + 간/NNG + 이란/NNP
년대이래	년대/NNB + 이래/NNB
년임기제	년/NNB + 임기/NNG + 제/XSN
년제대학	년/NNB + 제/XSN + 대학/NNG
년초이래	년/NNB + 초/NNB + 이래/NNB
단계사업	단계/NNG + 사업/NNG
단팔마왕	단팔/NNG + 마왕/NNG
달러어치	달러/NNB + 어치/NNG
달러짜리	달러/NNB + 짜리/XSN
당연립틀	당/NNG + 연립/NNG + 틀/NNG
당총재간	당/NNG + 총재/NNG + 간/NNB
대대통령	대/NNB + 대통령/NNG
대메이저	대/NNG + 메이저/NNG
大分斷國	大分斷國/SH
대수습책	대/NNG + 수습책/NNG
대여섯쯤	대여섯/NR + 쯤/XSN
대조고비	대조/NNG + 고비/NNG
대할머니	대/NNB + 할머니/NNG
데시빌쯤	데시빌/NNB + 쯤/XSN
도창의대	도/NNG + 창의대/NNG
독립선언	독립/NNG + 선언/NNG
돈쭝짜리	돈쭝/NNB + 짜리/XSN
동사무소	동사무소/NNG
드라이버	드라이버/NNG
등기관사	등/NNB + 기관사/NNG
등서기관	등/NNB + 서기관/NNG
등항해사	등/NNB + 항해사/NNG
로케트탄	로케트탄/NNG
롯데월드	롯데월드/NNP
리바운드	리바운드/NNG
리어카분	리어카/NNG + 분/XSN
리터들이	리터/NNB + 들이/XSN
리터짜리	리터/NNB + 짜리/XSN
마더보드	마더보드/NNG
마력짜리	마력/NNB + 짜리/XSN
마지기당	마지기/NNB + 당/XSN
마지기반	마지기/NNB + 반/NNG
마지기씩	마지기/NNB + 씩/XSN
만CGT	만/NR + CGT/SL
만kw급	만/NR + kw/SL + 급/NNG
만냥짜리	만/NR + 냥/NNB + 짜리/XSN
만년전경	만/NR + 년/NNB + 전/NNG + 경/XSN
만루피아	만/NR + 루피아/NNB
만마르크	만/NR + 마르크/NNB
만배럴씩	만/NR + 배럴/NNB + 씩/XSN
만상자씩	만/NR + 상자/NNG + 씩/XSN
만세시위	만세/NNG + 시위/NNG
만에이커	만/NR + 에이커/NNB
만여Km	만/NR + 여/XSN + Km/SL
만여건씩	만/NR + 여/XSN + 건/NNB + 씩/XSN
만여마리	만/NR + 여/XSN + 마리/NNB
만여명線	만/NR + 여/XSN + 명/NNB + 線/SH
만원가량	만/NR + 원/NNB + 가량/NNG
만원어치	만/NR + 원/NNB + 어치/NNG
만원이상	만/NR + 원/NNB + 이상/NNG
만원정도	만/NR + 원/NNB + 정도/NNG
만원짜리	만/NR + 원/NNB + 짜리/XSN
만케이스	만/NR + 케이스/NNG
만파운드	만/NR + 파운드/NNB
만평규모	만/NR + 평/NNB + 규모/NNG
만평짜리	만/NR + 평/NNB + 짜리/XSN
만포인트	만/NR + 포인트/NNG
메가와트	메가와트/NNG
명가운데	명/NNB + 가운데/NNG
명정도씩	명/NNB + 정도/NNG + 씩/XSN
모작지대	모작/NNG + 지대/NNG
미터짜리	미터/NNB + 짜리/XSN
밀리그램	밀리그램/NNB
밀리리터	밀리리터/NNG
밀리미터	밀리미터/NNB
반세기여	반세기/NNG + 여/XSN
백g짜리	백/NR + g/SL + 짜리/XSN
백m가량	백/NR + m/SL + 가량/NNG
백m정도	백/NR + m/SL + 정도/NNG
백ppm	백/NR + ppm/SL
백기이하	백/NR + 기/NNB + 이하/NNG
백년동안	백/NR + 년/NNB + 동안/NNG
백대기업	백/NR + 대/XSN + 기업/NNG
백마리씩	백/NR + 마리/NNP + 씩/XSN
백만가지	백만/NR + 가지/NNB
백만개쯤	백만/NR + 개/NNB + 쯤/XSN
백만달러	백만/NR + 달러/NNB
百萬달러	百萬/SH + 달러/NNB
백만여원	백만/NR + 여/XSN + 원/NNB
백만여주	백만/NR + 여/XSN + 주/NNG
백만원대	백만/NR + 원/NNB + 대/XSN
백만원선	백만/NR + 원/NNB + 선/NNG
백만원씩	백만/NR + 원/NNB + 씩/XSN
백만원쯤	백만/NR + 원/NNB + 쯤/XSN
백명가량	백/NR + 명/NNB + 가량/NNG
백명이상	백/NR + 명/NNB + 이상/NNG
백명정도	백/NR + 명/NNB + 정도/NNG
백살짜리	백/NR + 살/NNB + 짜리/XSN
백억달러	백억/NR + 달러/NNB
백억여원	백억/NR + 여/XSN + 원/NNB
백억원대	백억/NR + 원/NNB + 대/XSN
백억원씩	백억/NR + 원/NNB + 씩/XSN
백억원중	백억/NR + 원/NNB + 중/NNB
백여Km	백/NR + 여/XSN + Km/SL
백여m쯤	백/NR + 여/XSN + m/SL + 쯤/XSN
백여가구	백/NR + 여/XSN + 가구/NNG
백여가지	백/NR + 여/XSN + 가지/NNB
백여개국	백/NR + 여/XSN + 개국/NNB
백여개씩	백/NR + 여/XSN + 개/NNB + 씩/XSN
백여년간	백/NR + 여/XSN + 년/NNB + 간/NNG
백여만명	백/NR + 여/XSN + 만/NR + 명/NNB
백여만병	백/NR + 여/XSN + 만/NR + 병/NNG
백여만섬	백/NR + 여/XSN + 만/NR + 섬/NNB
백여만원	백/NR + 여/XSN + 만/NR + 원/NNB
백여만주	백/NR + 여/XSN + 만/NR + 주/NNG
백여명씩	백/NR + 여/XSN + 명/NNB + 씩/XSN
백여미터	백/NR + 여/XSN + 미터/NNB
백여세대	백/NR + 여/XSN + 세대/NNG
백여시간	백/NR + 여/XSN + 시간/NNG
백여억원	백/NR + 여/XSN + 억/NR + 원/NNB
백여업체	백/NR + 여/XSN + 업체/NNG
백여주민	백/NR + 여/XSN + 주민/NNG
백여통씩	백/NR + 여/XSN + 통/NNB + 씩/XSN
백여편씩	백/NR + 여/XSN + 편/NNB + 씩/XSN
백여표차	백/NR + 여/XSN + 표/NNG + 차/NNG
백원짜리	백/NR + 원/NNB + 짜리/XSN
백쪽짜리	백/NR + 쪽/NNG + 짜리/XSN
백파운드	백/NR + 파운드/NNB
백회선분	백/NR + 회선/NNG + 분/XSN
번아이언	번/NNB + 아이언/NNG
베르스타	베르스타/NNP
부소매옷	부/NNB + 소매/NNG + 옷/NNG
부속실장	부속/NNG + 실장/NNG
불병좌상	불병좌상/NNG
비트머쉰	비트/NNB + 머쉰/NNG
비트짜리	비트/NNB + 짜리/XSN
빙하시대	빙하/NNG + 시대/NNG
사업연도	사업/NNG + 연도/NNG
사회정의	사회/NNG + 정의/NNG
살어린이	살/NNB + 어린이/NNG
서른여섯	서른여섯/NR
선개헌안	선/NNG + 개헌안/NNG
성실주의	성실/NNG + 주의/NNG
세기동안	세기/NNG + 동안/NNG
세기말경	세기말/NNG + 경/XSN
세기말엽	세기/NNG + 말엽/NNG
세기말쯤	세기말/NNG + 쯤/XSN
세기북스	세기/NNG + 북스/NNG
세기이래	세기/NNG + 이래/NNB
세기이후	세기/NNG + 이후/NNG
세기초엽	세기/NNG + 초엽/NNG
세기폭스	세기/NNG + 폭스/NNG
세기화랑	세기/NNG + 화랑/NNG
세대위성	세대/NNG + 위성/NNG
세부항목	세부/NNG + 항목/NNG
세종오픈	세종/NNP + 오픈/NNG
센트짜리	센트/NNB + 짜리/XSN
센티미터	센티미터/NNB
소로첨차	소로/NNG + 첨차/NNG
스물일곱	스물일곱/NR
스타디온	스타디온/NNG
시간가량	시간가량/NNG
시간동안	시간/NNB + 동안/NNG
시간만인	시간/NNB + 만인/NNG
시간여만	시간/NNB + 여/XSN + 만/NNB
시간여전	시간/NNB + 여/XSN + 전/NNG
시간이내	시간/NNB + 이내/NNG
시간정도	시간/NNB + 정도/NNG
시간정도	시간/NNG + 정도/NNG
시간짜리	시간/NNB + 짜리/XSN
시간짜리	시간/NNG + 짜리/XSN
식량수급	식량/NNG + 수급/NNG
심구형량	심/NNG + 구형량/NNG
십구호실	십구/NR + 호실/NNG
쎈트짜리	쎈트/NNB + 짜리/XSN
쎈티미터	쎈티미터/NNB
씩하나씩	씩/XSN + 하나/NR + 씩/XSN
아나운서	아나운서/NNG
아시안컵	아시안/NNG + 컵/NNG
아홉번째	아홉/NR + 번/NNB + 째/XSN
애틀랜타	애틀랜타/NNP
야드짜리	야드/NNG + 짜리/XSN
어시스트	어시스트/NNG
억t짜리	억/NR + t/SL + 짜리/XSN
억달러대	억/NR + 달러/NNB + 대/XSN
억달러씩	억/NR + 달러/NNB + 씩/XSN
억달러쯤	억/NR + 달러/NNB + 쯤/XSN
억미달러	억/NR + 미/NNP + 달러/NNB
억여달러	억/NR + 여/XSN + 달러/NNB
억여원중	억/NR + 여/XSN + 원/NNB + 중/NNB
억원가량	억/NR + 원/NNB + 가량/NNG
억원규모	억/NR + 원/NNB + 규모/NNG
억원상당	억/NR + 원/NNB + 상당/NNG
억원어치	억/NR + 원/NNB + 어치/NNG
억원짜리	억/NR + 원/NNB + 짜리/XSN
억파운드	억/NR + 파운드/NNB
여m가량	여/XSN + m/SL + 가량/NNG
여m아래	여/XSN + m/SL + 아래/NNG
여개노조	여/XSN + 개/NNB + 노조/NNG
여개업체	여/XSN + 개/NNB + 업체/NNG
여드렛날	여드렛날/NNG
여든일곱	여든/NR + 일곱/NR
여만달러	여/XSN + 만/NR + 달러/NNB
여만원선	여/XSN + 만/NR + 원/NNB + 선/NNG
여만원씩	여/XSN + 만/NR + 원/NNB + 씩/XSN
여명끼리	여/XSN + 명/NNB + 끼리/XSN
여분동안	여/XSN + 분/NNB + 동안/NNG
여섯번째	여섯/NR + 번/NNB + 째/XSN
여억원대	여/XSN + 억/NR + 원/NNB + 대/XSN
여쪽짜리	여/XSN + 쪽/NNG + 짜리/XSN
여통이상	여/XSN + 통/NNG + 이상/NNG
연방법원	연방/NNG + 법원/NNG
연속경기	연속/NNG + 경기/NNG
열번째쯤	열/NR + 번/NNB + 째/XSN + 쯤/NNG
예순다섯	예순다섯/NR
예순일곱	예순/NR + 일곱/NR
오라비네	오라비/NNG + 네/XSN
오륙백원	오/NR + 륙백/NR + 원/NNB
와트짜리	와트/NNB + 짜리/XSN
월음악제	월/NNB + 음악제/NNG
응급체계	응급/NNG + 체계/NNG
이산가족	이산가족/NNG
인위원회	인/NNG + 위원회/NNG
인치짜리	인치/NNB + 짜리/XSN
인터셉트	인터셉트/NNG
일간구금	일/NNB + 간/NNG + 구금/NNG
일고여덟	일고여덟/NR
일생활권	일/NNB + 생활/NNG + 권/XSN
일용산구	일/NNB + 용산구/NNP
일쯤국회	일/NNB + 쯤/XSN + 국회/NNG
임투승리	임투/NNG + 승리/NNG
자격인증	자격/NNG + 인증/NNG
장가운데	장/NNG + 가운데/NNG
점대짜리	점/NNB + 대/XSN + 짜리/XSN
정규리그	정규/NNG + 리그/NNG
정보센터	정보/NNG + 센터/NNG
제곱미터	제곱미터/NNB
제곱미터	제곱미터/NNG
제곱피트	제곱/NNG + 피트/NNB
조바이트	조/NR + 바이트/NNB
조원어치	조/NR + 원/NNB + 어치/NNG
조원이상	조/NR + 원/NNB + 이상/NNG
조원투자	조/NR + 원/NNB + 투자/NNG
주년기념	주년/NNB + 기념/NNG
주년회견	주년/NNB + 회견/NNG
주일동안	주일/NNB + 동안/NNG
주일이상	주일/NNB + 이상/NNG
지선다형	지/NNB + 선다/NNG + 형/XSN
차공천자	차/NNB + 공천자/NNG
차대의원	차/NNB + 대의원/NNG
차대전때	차/NNB + 대전/NNG + 때/NNG
차대전중	차/NNB + 대전/NNG + 중/NNB
차대전후	차/NNB + 대전/NNG + 후/NNG
차방정식	차/NNB + 방정식/NNG
차선도로	차선/NNG + 도로/NNG
차신경통	차/NNB + 신경통/NNG
차신경핵	차/NNB + 신경핵/NNG
차아파트	차/NNB + 아파트/NNG
次的關係	次的關係/SH
차조사단	차/NNB + 조사단/NNG
차지원분	차/NNB + 지원/NNG + 분/XSN
천W짜리	천/NR + W/SL + 짜리/XSN
천가구씩	천/NR + 가구/NNG + 씩/XSN
천달러대	천/NR + 달러/NNB + 대/NNB
천만달러	천만/NR + 달러/NNB
천만엔대	천만/NR + 엔/NNB + 대/XSN
천만여명	천만/NR + 여/XSN + 명/NNB
천만여원	천만/NR + 여/XSN + 원/NNB
천만여주	천만/NR + 여/XSN + 주/NNG
천만원대	천만/NR + 원/NNB + 대/XSN
천만원씩	천만/NR + 원/NNB + 씩/XSN
천명미만	천/NR + 명/NNB + 미만/NNG
천명이상	천/NR + 명/NNB + 이상/NNG
천석거리	천/NR + 석/NNB + 거리/NNG
천수백만	천/NR + 수백만/NR
천억규모	천억/NR + 규모/NNG
천억달러	천억/NR + 달러/NNB
천억여원	천억/NR + 여/XSN + 원/NNB
천억원대	천억/NR + 원/NNB + 대/XSN
천억원등	천억/NR + 원/NNB + 등/NNB
천억조성	천억/NR + 조성/NNG
천여가지	천/NR + 여/XSN + 가지/NNB
천여그루	천/NR + 여/XSN + 그루/NNB
천여마리	천/NR + 여/XSN + 마리/NNB
천여만원	천/NR + 여/XSN + 만/NR + 원/NNB
천여명선	천/NR + 여/XSN + 명/NNB + 선/NNG
천여세대	천/NR + 여/XSN + 세대/NNG
천여억원	천/NR + 여/XSN + 억/NR + 원/NNB
천여표쯤	천/NR + 여/XSN + 표/NNG + 쯤/XSN
천여표차	천/NR + 여/XSN + 표차/NNG
천여필지	천/NR + 여/XSN + 필지/NNB
천원어치	천원어치/NNG
천원짜리	천/NR + 원/NNB + 짜리/XSN
초생활권	초/NNB + 생활/NNG + 권/XSN
층베란다	층/NNG + 베란다/NNG
층탑신부	층/NNG + 탑신부/NNG
칠평짜리	칠/NR + 평/NNB + 짜리/XSN
크루제이	크루제이/NNG
키로미터	키로미터/NNG
킬로그램	킬로그램/NNB
킬로미터	킬로미터/NNB
킬로미터	킬로미터/NNG
킬로비트	킬로비트/NNG
킬로와트	킬로와트/NNB
탑식가람	탑식/NNG + 가람/NNG
텔레비전	텔레비전/NNG
텔리비전	텔리비전/NNG
파운드당	파운드/NNB + 당/XSN
팔십칠년	팔/NR + 십칠/NR + 년/NNB
퍼센트선	퍼센트/NNB + 선/NNG
퍼센트씩	퍼센트/NNB + 씩/XSN
퍼센트쯤	퍼센트/NNB + 쯤/NNG
퍼센트쯤	퍼센트/NNB + 쯤/XSN
페니짜리	페니/NNG + 짜리/XSN
페이지씩	페이지/NNG + 씩/XSN
평4량식	평/NNG + 4/SN + 량/NNB + 식/NNG
평반짜리	평/NNB + 반/NNG + 짜리/XSN
평방미터	평방미터/NNB
평형짜리	평/NNB + 형/XSN + 짜리/XSN
포인트당	포인트/NNG + 당/XSN
프랑짜리	프랑/NNB + 짜리/XSN
프로야구	프로/NNG + 야구/NNG
프로축구	프로/NNG + 축구/NNG
피리어드	피리어드/NNG
피아스타	피아스타/NNG
피코그램	피코그램/NNG
